=== 2025年未匹配 (B/C列为#N/A/0/None/空): 73条 ===
  国家=巴哈马, B=0, C=#N/A
  国家=古巴, B=0, C=#N/A
  国家=特立尼达和多巴哥, B=0, C=#N/A
  国家=阿富汗, B=0, C=#N/A
  国家=阿富汗1, B=0, C=#N/A
  国家=叙利亚, B=0, C=#N/A
  国家=美国, B=0, C=#N/A
  国家=委内瑞拉, B=0, C=#N/A
  国家=牙买加, B=0, C=#N/A
  国家=冈比亚, B=0, C=#N/A
  国家=加纳, B=0, C=#N/A
  国家=加蓬, B=0, C=#N/A
  国家=科特迪瓦, B=0, C=#N/A
  国家=利比里亚, B=0, C=#N/A
  国家=毛里求斯, B=0, C=#N/A
  国家=摩洛哥1, B=None, C=None
  国家=莫桑比克, B=0, C=#N/A
  国家=乌干达, B=0, C=#N/A
  国家=辽宁机电, B=0, C=#N/A
  国家=日本, B=0, C=#N/A
  国家=阿尔巴尼亚, B=0, C=#N/A
  国家=保加利亚, B=0, C=#N/A
  国家=比利时, B=0, C=#N/A
  国家=冰岛, B=0, C=#N/A
  国家=德国, B=0, C=#N/A
  国家=斯洛伐克, B=0, C=#N/A
  国家=西班牙, B=0, C=#N/A
  国家=意大利, B=0, C=#N/A
  国家=立陶宛, B=0, C=#N/A
  国家=韩国, B=0, C=#N/A
  国家=香港1, B=None, C=None
  国家=亚美尼亚2, B=泰国, C=None
  国家=肯尼亚2, B=尼日利亚/埃塞俄比亚, C=None
  国家=阿曼2, B=沙特工厂, C=None
  国家=哈萨克斯坦3, B=吉尔吉斯斯坦, C=None
  国家=圭亚那, B=哥伦比亚, C=None
  国家=柬埔寨1, B=泰国, C=None
  国家=津巴布韦1, B=尼日利亚/埃塞俄比亚, C=None
  国家=中国2, B=吉尔吉斯斯坦, C=None
  国家=印尼3, B=None, C=None
  国家=土耳其1, B=None, C=None
  国家=菲律宾2, B=None, C=None
  国家=菲律宾3, B=None, C=None
  国家=吉尔吉斯斯坦2, B=None, C=None
  国家=巴林2, B=None, C=None
  国家=俄罗斯5, B=None, C=None
  国家=俄罗斯6, B=None, C=None
  国家=俄罗斯7, B=None, C=None
  国家=俄罗斯8, B=None, C=None
  国家=俄罗斯9, B=None, C=None
  国家=泰国2, B=None, C=None
  国家=印尼4, B=None, C=None
  国家=卡塔尔1, B=None, C=None
  国家=巴勒斯坦1, B=None, C=None
  国家=多米尼加3, B=None, C=None
  国家=秘鲁2, B=None, C=None
  国家=巴西4, B=None, C=None
  国家=乌兹别克斯坦1, B=None, C=None
  国家=摩洛哥2, B=None, C=None
  国家=圭亚那1, B=None, C=None
  国家=缅甸1, B=None, C=None
  国家=亚美尼亚3, B=None, C=None
  国家=乌兹别克斯坦2, B=None, C=None
  国家=乌兹别克斯坦3, B=None, C=None
  国家=越南4, B=None, C=None
  国家=乌兹别克斯坦4, B=None, C=None
  国家=科索沃, B=None, C=None
  国家=塞内加尔4, B=None, C=None
  国家=阿联酋4, B=None, C=None
  国家=土耳其2, B=None, C=None
  国家=坦桑尼亚1, B=None, C=None
  国家=塔吉克斯坦2, B=None, C=None
  国家=埃及4, B=None, C=None

=== 2026年未匹配 (D/E列为#N/A/0/None/空): 26条 ===
  国家=巴哈马, D=#N/A, E=#N/A
  国家=古巴, D=0, E=#N/A
  国家=特立尼达和多巴哥, D=0, E=#N/A
  国家=阿富汗, D=0, E=#N/A
  国家=阿富汗1, D=0, E=#N/A
  国家=叙利亚, D=0, E=#N/A
  国家=美国, D=0, E=#N/A
  国家=委内瑞拉, D=0, E=#N/A
  国家=牙买加, D=0, E=#N/A
  国家=冈比亚, D=0, E=#N/A
  国家=加纳, D=0, E=#N/A
  国家=加蓬, D=0, E=#N/A
  国家=利比里亚, D=0, E=#N/A
  国家=毛里求斯, D=0, E=#N/A
  国家=莫桑比克, D=0, E=#N/A
  国家=乌干达, D=0, E=#N/A
  国家=辽宁机电, D=0, E=#N/A
  国家=阿尔巴尼亚, D=0, E=#N/A
  国家=保加利亚, D=0, E=#N/A
  国家=比利时, D=0, E=#N/A
  国家=冰岛, D=0, E=#N/A
  国家=德国, D=0, E=#N/A
  国家=斯洛伐克, D=0, E=#N/A
  国家=西班牙, D=0, E=#N/A
  国家=意大利, D=0, E=#N/A
  国家=立陶宛, D=0, E=#N/A
