Sheet3: rows=262, cols=5

A1=国家 | B1=2025九大区模块 | C1=2025九大区 | D1=2026年对应模块 | E1=2026九大区
A2=巴哈马 | B2=0 | C2=#N/A | D2=#N/A | E2=#N/A
A3=巴西 | B3=中美洲-2 | C3=美洲 | D3=巴西 | E3=美洲
A4=古巴 | B4=0 | C4=#N/A | D4=0 | E4=#N/A
A5=特立尼达和多巴哥 | B5=0 | C5=#N/A | D5=0 | E5=#N/A
A6=印尼1 | B6=马来西亚 | C6=亚洲1 | D6=马尔代夫 | E6=亚洲1
A7=多米尼加1 | B7=中美洲-2 | C7=美洲 | D7=加勒比海 | E7=美洲
A8=孟加拉1 | B8=俄罗斯（西南） | C8=俄罗斯 | D8=俄罗斯（西南） | E8=俄罗斯
A9=沙特1 | B9=沙特工厂 | C9=中东 | D9=沙特工厂 | E9=中东
A10=印度1 | B10=印度私营 | C10=亚洲2 | D10=印度私营 | E10=亚洲2
A11=阿塞拜疆1 | B11=阿塞拜疆 | C11=中亚 | D11=阿塞拜疆 | E11=中亚
A12=埃及 | B12=埃及 | C12=非洲 | D12=埃及-1 | E12=非洲
A13=巴林 | B13=科威特 | C13=中东 | D13=科威特 | E13=中东
A14=卡塔尔 | B14=卡塔尔 | C14=中东 | D14=埃及-2 | E14=非洲
A15=土耳其 | B15=英国意大利 | C15=欧洲 | D15=英国意大利 | E15=欧洲
A16=以色列 | B16=巴基斯坦 | C16=亚洲2 | D16=巴基斯坦 | E16=亚洲2
A17=黎巴嫩 | B17=埃及 | C17=非洲 | D17=埃及-1 | E17=非洲
A18=巴勒斯坦 | B18=泰国 | C18=亚洲1 | D18=泰国 | E18=亚洲1
A19=科威特 | B19=科威特 | C19=中东 | D19=科威特 | E19=中东
A20=沙特 | B20=沙特-1 | C20=中东 | D20=沙特-1 | E20=中东
A21=也门 | B21=泰国 | C21=亚洲1 | D21=泰国 | E21=亚洲1
A22=阿联酋 | B22=阿联酋-1 | C22=中东 | D22=阿联酋-1 | E22=中东
A23=阿曼 | B23=卡塔尔 | C23=中东 | D23=卡塔尔 | E23=中东
A24=伊拉克 | B24=泰国 | C24=亚洲1 | D24=泰国 | E24=亚洲1
A25=伊朗 | B25=泰国 | C25=亚洲1 | D25=伊朗+阿曼 | E25=中东
A26=阿富汗 | B26=0 | C26=#N/A | D26=0 | E26=#N/A
A27=阿富汗1 | B27=0 | C27=#N/A | D27=0 | E27=#N/A
A28=叙利亚 | B28=0 | C28=#N/A | D28=0 | E28=#N/A
A29=约旦1 | B29=泰国 | C29=亚洲1 | D29=泰国 | E29=亚洲1
A30=也门1 | B30=泰国 | C30=亚洲1 | D30=泰国 | E30=亚洲1
A31=老挝1 | B31=金三角 | C31=亚洲1 | D31=金三角 | E31=亚洲1
A32=巴基斯坦 | B32=巴基斯坦 | C32=亚洲2 | D32=巴基斯坦 | E32=亚洲2
A33=孟加拉 | B33=孟加拉-1 | C33=亚洲2 | D33=孟加拉-1 | E33=亚洲2
