截止7月1日 签排发数据 按大区

=== 2025年1月1日 ~ 2025-07-01 ===
大区        签单台    签单额(万元)    排产台    排产额(万元)    发货台    发货额(万元)
俄罗斯       2155      37,398         890       15,937        611       11,368
中亚          633       6,444         115        1,111         88          938
亚洲1         740      14,020         233        5,971         86        1,423
亚洲2         461       5,784          90        1,235         78          913
美洲         1083      15,394         377        4,872        295        3,492
中东         1801      16,488         247        2,892        255        2,902
非洲          699       9,776         427        2,633         45          447
欧洲            0           0           0            0          0            0
商贸合计        39         272          39          272          0           32

=== 2026年1月1日 ~ 2026-07-01 ===
大区        签单台    签单额(万元)    排产台    排产额(万元)    发货台    发货额(万元)
俄罗斯       2246      47,982        1107       18,512        847       14,916
中亚         1003       7,851         340        2,601        191        1,584
亚洲1         809      18,507         277        9,849        265        8,885
亚洲2         786       8,024         146        1,445         84          754
美洲         1192      19,689         518        6,376        389        4,948
中东         1062      11,920         197        1,606        131        1,111
非洲          662       5,165          33          341         43          468
欧洲            2          14           0            0          0            0
商贸合计       181         880         111          341         42          997
